State,Date,Confirmed,Recovered,Deaths,Active
West Bengal,2021-01-01,550000,520000,9800,20200
West Bengal,2021-01-02,551500,521200,9820,20480
West Bengal,2021-01-03,553000,522500,9840,20660
West Bengal,2021-01-04,555200,524100,9870,21230
Maharashtra,2021-01-01,1930000,1835000,49500,45500
Maharashtra,2021-01-02,1938000,1843000,49650,45350
Maharashtra,2021-01-03,1949000,1852500,49800,46700
Maharashtra,2021-01-04,1960000,1864000,50000,46000
Karnataka,2021-01-01,920000,889000,12000,19000
Karnataka,2021-01-02,922200,891400,12080,18720
Karnataka,2021-01-03,924100,893000,12140,18960
Karnataka,2021-01-04,926000,895200,12200,18600
Tamil Nadu,2021-01-01,820000,798000,12200,9800
Tamil Nadu,2021-01-02,821800,799600,12230,9970
Tamil Nadu,2021-01-03,823400,801200,12260,9940
Tamil Nadu,2021-01-04,825000,803000,12300,
Delhi,2021-01-01,625000,612000,10600,2400
Delhi,2021-01-02,626200,613100,10630,2470
Delhi,2021-01-03,627100,614000,10650,2450
Delhi,2021-01-04,628500,615300,10680,2520
Delhi,2021-01-04,628500,615300,10680,2520
